id,city
58,Bruselas
231,A Coruña
232,Álava
233,Albacete
234,Alicante
235,Almería
236,Asturias
237,Ávila
238,Badajoz
239,Baleares
240,Barcelona
241,Bizkaia
242,Burgos
243,Cáceres
244,Cádiz
245,Cantabria
246,Castellón
247,Ceuta
248,Ciudad Real
249,Córdoba
250,Cuenca
251,Gipuzkoa
252,Girona
253,Granada
254,Guadalajara
255,Huelva
256,Huesca
257,Jaén
258,La Rioja
259	Las	Palmas de Gran Canaria
260,León
261,Lugo
262,Lleida
263,Madrid
264,Málaga
265,Melilla
266,Murcia
267,Navarra
268,Ourense
269,Palencia
270,Pontevedra
271,Salamanca
272,Sta. Cruz de Tenerife
273,Segovia
274,Sevilla
275,Soria
276,Tarragona
277,Teruel
278,Toledo
279,Valencia
280,Valladolid
281,Zamora
282,Zaragoza